top_pct_flagged,threshold,precision,recall
0.01,0.9556908,0.6466666666666666,0.09675810473815462
0.02,0.9366695,0.6183333333333333,0.18503740648379052
0.05,0.86740357,0.496,0.371072319201995
0.1,0.7336941,0.37333333333333335,0.5586034912718204
